"",BANDUNDU,BASCONGO,EQUATEUR,KASAIOCCIDENTAL,KASAIORIENTAL,KATANGA,KINSHASA,MANIEMA,NORDKIVU,ORIENTALE,SUDKIVU
"1",126,56,93,67,264,541,128,33,273,140,130
"2",158,52,84,64,280,619,91,60,214,108,125
"3",98,45,60,38,154,399,64,33,88,81,75
"4",100,35,32,32,98,314,43,13,62,76,49
"5",61,24,42,25,63,177,42,16,54,54,24
"6",58,30,21,28,52,158,32,8,34,44,18
"7",44,23,17,22,21,122,20,7,29,37,20
"8",31,16,14,10,33,80,14,7,14,35,8
"9",28,12,11,7,20,61,18,4,18,18,5
"10",30,2,11,7,19,35,15,1,16,17,9
"11",19,6,6,2,10,24,9,5,9,10,2
"12",24,13,5,6,5,25,4,3,11,16,5
"13",26,6,10,5,6,14,5,2,7,8,4
"14",16,10,4,2,7,17,6,1,7,5,1
"15",10,6,3,1,5,11,4,0,8,3,4
"16",8,5,4,3,1,12,2,0,11,2,1
"17",11,8,2,2,3,2,1,1,6,3,2
"18",5,4,3,0,1,3,3,0,3,4,3
"19",10,2,3,1,0,2,1,1,2,7,5
"20",9,3,1,1,3,3,6,1,5,3,3
"21",2,4,1,1,0,1,1,0,4,2,1
"22",6,4,3,2,1,1,3,0,1,4,2
"23",3,2,2,0,0,1,5,0,3,3,2
"24",3,2,0,0,1,0,4,0,1,2,1
"25",3,2,3,0,0,2,3,0,5,5,5
"26",3,2,2,1,0,3,1,0,3,4,5
"27",1,3,2,2,0,1,5,0,3,3,4
"28",5,2,4,1,1,3,1,1,3,2,3
"29",0,3,0,0,1,2,3,0,4,2,2
"30",3,1,0,1,1,3,2,2,3,6,2
"31",1,3,0,0,0,1,0,0,2,0,1
"32",2,1,1,1,1,1,1,0,1,3,0
"33",4,1,0,0,0,1,0,0,0,0,4
"34",1,1,0,0,0,0,0,0,1,0,0
"35",1,0,1,1,0,3,1,0,0,0,0
"36",2,1,0,1,0,1,0,0,1,0,1
"37",1,0,0,0,0,0,1,0,0,1,1
"38",1,0,1,1,0,0,0,0,0,1,0
"39",0,0,0,0,0,0,0,0,0,1,1
"40",1,1,0,0,0,0,0,0,0,0,0
"41",0,1,0,0,0,0,0,0,0,0,0
"42",0,1,0,0,0,1,0,0,0,0,0
"43",0,0,0,0,0,0,0,0,0,0,0
"44",0,0,0,0,0,0,0,0,0,0,0
"45",0,0,0,0,0,0,0,0,0,1,0
"46",0,0,0,0,0,0,0,0,0,0,0
"47",0,0,0,0,0,0,1,0,1,0,0
"48",1,1,0,0,1,0,0,0,0,0,0
"49",0,0,0,0,0,0,0,0,0,0,0
"50",0,0,0,0,0,0,0,0,0,0,1
"51",0,1,0,0,0,1,0,0,0,0,0
"52",0,0,0,0,0,0,0,0,0,0,0
"53",0,0,0,0,0,0,0,0,0,0,0
"54",0,0,0,0,0,0,0,0,0,1,0
"55",0,0,0,0,0,0,0,0,0,0,0
"56",0,0,0,0,0,0,0,0,0,0,0
"57",0,0,0,0,0,0,0,0,0,0,0
"58",0,0,0,0,0,0,0,0,0,0,0
"59",0,0,0,0,0,0,0,0,0,0,1
"60",0,0,0,0,0,0,0,0,0,0,0
